Dependency,Ecosystem - Type,Repos,Vulns (H/M/L),License,Sponsor,Parent
"core-proto@0.0.9-alpha03","Maven - transitive","upload/upload/bom","H:0 M:0 L:0","Apache-2.0",No,"android-device-provider-ddmlib@31.12.0, android-device-provider-gradle@31.12.0, android-test-plugin-host-apk-installer@31.12.0, android-test-plugin-result-listener-gradle@31.12.0"
"core@0.0.9-alpha03","Maven - direct","upload/upload/bom","H:0 M:0 L:0","Android Software Development Kit License Agreement",No,Direct
"launcher@0.0.9-alpha03","Maven - direct","upload/upload/bom","H:0 M:0 L:0","Android Software Development Kit License Agreement",No,Direct
"bolts-tasks@1.4.0","Maven - transitive","upload/upload/bom","H:0 M:0 L:0","BSD-3-Clause",No,"imagepipeline-base@3.6.0, imagepipeline@3.6.0, nativeimagefilters@3.6.0, nativeimagetranscoder@3.6.0"
"okhttp@3.14.9","Maven - transitive","upload/upload/bom","H:0 M:0 L:0","Apache-2.0",No,"imagepipeline-okhttp3@3.6.0"
"okio@1.17.2","Maven - transitive","upload/upload/bom","H:0 M:0 L:0","Apache-2.0",No,"okhttp@3.14.9"
"commons-io@2.16.1","Maven - transitive","upload/upload/bom","H:0 M:0 L:0","Apache-2.0",No,"android-test-plugin-host-emulator-control@31.12.0"
"shared-storage-android@1.0.1","Maven - transitive","upload/upload/bom","H:0 M:0 L:0","MIT",No,"react-native-async-storage_async-storage@unspecified"
"grpc-api@1.57.2","Maven - transitive","upload/upload/bom","H:0 M:0 L:0","Apache-2.0",No,"core@0.0.9-alpha03, grpc-context@1.57.2, grpc-core@1.57.2, grpc-protobuf-lite@1.57.2, grpc-protobuf@1.57.2, grpc-stub@1.57.2"
"grpc-api@1.69.1","Maven - transitive","upload/upload/bom","H:0 M:0 L:0","Apache-2.0",No,"grpc-context@1.69.1, grpc-core@1.69.1, grpc-inprocess@1.69.1, grpc-netty@1.69.1, grpc-protobuf-lite@1.69.1, grpc-protobuf@1.69.1, grpc-stub@1.69.1, grpc-util@1.69.1"
"grpc-context@1.57.2","Maven - transitive","upload/upload/bom","H:0 M:0 L:0","Apache-2.0",No,"grpc-core@1.57.2, opencensus-api@0.31.0"
"grpc-context@1.69.1","Maven - transitive","upload/upload/bom","H:0 M:0 L:0","Apache-2.0",No,"grpc-core@1.69.1"
"grpc-core@1.57.2","Maven - transitive","upload/upload/bom","H:0 M:0 L:0","Apache-2.0",No,"grpc-netty@1.57.2, grpc-services@1.57.2"
"grpc-core@1.69.1","Maven - transitive","upload/upload/bom","H:0 M:0 L:0","Apache-2.0",No,"proto@31.12.0, android-test-plugin-result-listener-gradle-proto@31.12.0, android-test-plugin-result-listener-gradle@31.12.0, grpc-inprocess@1.69.1, grpc-netty@1.69.1, grpc-util@1.69.1"
"grpc-inprocess@1.69.1","Maven - transitive","upload/upload/bom","H:0 M:0 L:0","Apache-2.0",No,"android-test-plugin-result-listener-gradle-proto@31.12.0, android-test-plugin-result-listener-gradle@31.12.0"
"grpc-netty@1.57.2","Maven - transitive","upload/upload/bom","H:0 M:0 L:0","Apache-2.0",No,"core@0.0.9-alpha03"
"grpc-netty@1.69.1","Maven - transitive","upload/upload/bom","H:0 M:0 L:0","Apache-2.0",No,"proto@31.12.0, android-test-plugin-result-listener-gradle-proto@31.12.0, android-test-plugin-result-listener-gradle@31.12.0"
"grpc-protobuf-lite@1.57.2","Maven - transitive","upload/upload/bom","H:0 M:0 L:0","Apache-2.0",No,"grpc-protobuf@1.57.2"
"grpc-protobuf-lite@1.69.1","Maven - transitive","upload/upload/bom","H:0 M:0 L:0","Apache-2.0",No,"grpc-protobuf@1.69.1"
"grpc-protobuf@1.57.2","Maven - transitive","upload/upload/bom","H:0 M:0 L:0","Apache-2.0",No,"grpc-services@1.57.2, opencensus-proto@0.2.0"
"grpc-protobuf@1.69.1","Maven - transitive","upload/upload/bom","H:0 M:0 L:0","Apache-2.0",No,"proto@31.12.0, android-test-plugin-result-listener-gradle-proto@31.12.0, android-test-plugin-result-listener-gradle@31.12.0"
"grpc-services@1.57.2","Maven - transitive","upload/upload/bom","H:0 M:0 L:0","Apache-2.0",No,"core@0.0.9-alpha03"
"grpc-stub@1.57.2","Maven - transitive","upload/upload/bom","H:0 M:0 L:0","Apache-2.0",No,"core@0.0.9-alpha03, grpc-services@1.57.2, opencensus-proto@0.2.0"
"grpc-stub@1.69.1","Maven - transitive","upload/upload/bom","H:0 M:0 L:0","Apache-2.0",No,"proto@31.12.0, android-test-plugin-result-listener-gradle-proto@31.12.0, android-test-plugin-result-listener-gradle@31.12.0"
"grpc-util@1.69.1","Maven - transitive","upload/upload/bom","H:0 M:0 L:0","Apache-2.0",No,"grpc-netty@1.69.1"
"netty-buffer@4.1.110.Final","Maven - transitive","upload/upload/bom","H:0 M:0 L:0","Apache-2.0",No,"netty-codec-http2@4.1.110.Final, netty-codec-http@4.1.110.Final, netty-codec-socks@4.1.110.Final, netty-codec@4.1.110.Final, netty-handler-proxy@4.1.110.Final, netty-handler@4.1.110.Final, netty-transport-native-unix-common@4.1.110.Final, netty-transport@4.1.110.Final"
"netty-buffer@4.1.93.Final","Maven - transitive","upload/upload/bom","H:0 M:0 L:0","Apache-2.0",No,"netty-codec-http2@4.1.93.Final, netty-codec-http@4.1.93.Final, netty-codec-socks@4.1.93.Final, netty-codec@4.1.93.Final, netty-handler-proxy@4.1.93.Final, netty-handler@4.1.93.Final, netty-transport-native-unix-common@4.1.93.Final, netty-transport@4.1.93.Final"
"netty-codec-http2@4.1.110.Final","Maven - transitive","upload/upload/bom","H:0 M:0 L:0","Apache-2.0",No,"grpc-netty@1.69.1"
"netty-codec-http2@4.1.93.Final","Maven - transitive","upload/upload/bom","H:0 M:0 L:0","Apache-2.0",No,"grpc-netty@1.57.2"
"netty-codec-http@4.1.110.Final","Maven - transitive","upload/upload/bom","H:0 M:0 L:0","Apache-2.0",No,"netty-codec-http2@4.1.110.Final, netty-handler-proxy@4.1.110.Final"
"netty-codec-http@4.1.93.Final","Maven - transitive","upload/upload/bom","H:0 M:0 L:0","Apache-2.0",No,"netty-codec-http2@4.1.93.Final, netty-handler-proxy@4.1.93.Final"
"netty-codec-socks@4.1.110.Final","Maven - transitive","upload/upload/bom","H:0 M:0 L:0","Apache-2.0",No,"netty-handler-proxy@4.1.110.Final"
"netty-codec-socks@4.1.93.Final","Maven - transitive","upload/upload/bom","H:0 M:0 L:0","Apache-2.0",No,"netty-handler-proxy@4.1.93.Final"
"netty-codec@4.1.110.Final","Maven - transitive","upload/upload/bom","H:0 M:0 L:0","Apache-2.0",No,"netty-codec-http2@4.1.110.Final, netty-codec-http@4.1.110.Final, netty-codec-socks@4.1.110.Final, netty-handler-proxy@4.1.110.Final, netty-handler@4.1.110.Final"
"netty-codec@4.1.93.Final","Maven - transitive","upload/upload/bom","H:0 M:0 L:0","Apache-2.0",No,"netty-codec-http2@4.1.93.Final, netty-codec-http@4.1.93.Final, netty-codec-socks@4.1.93.Final, netty-handler-proxy@4.1.93.Final, netty-handler@4.1.93.Final"
"netty-common@4.1.110.Final","Maven - transitive","upload/upload/bom","H:0 M:0 L:0","Apache-2.0",No,"netty-buffer@4.1.110.Final, netty-codec-http2@4.1.110.Final, netty-codec-http@4.1.110.Final, netty-codec-socks@4.1.110.Final, netty-codec@4.1.110.Final, netty-handler-proxy@4.1.110.Final, netty-handler@4.1.110.Final, netty-resolver@4.1.110.Final, netty-transport-native-unix-common@4.1.110.Final, netty-transport@4.1.110.Final"
"netty-common@4.1.93.Final","Maven - transitive","upload/upload/bom","H:0 M:0 L:0","Apache-2.0",No,"netty-buffer@4.1.93.Final, netty-codec-http2@4.1.93.Final, netty-codec-http@4.1.93.Final, netty-codec-socks@4.1.93.Final, netty-codec@4.1.93.Final, netty-handler-proxy@4.1.93.Final, netty-handler@4.1.93.Final, netty-resolver@4.1.93.Final, netty-transport-native-unix-common@4.1.93.Final, netty-transport@4.1.93.Final"
"netty-handler-proxy@4.1.110.Final","Maven - transitive","upload/upload/bom","H:0 M:0 L:0","Apache-2.0",No,"grpc-netty@1.69.1"
"netty-handler-proxy@4.1.93.Final","Maven - transitive","upload/upload/bom","H:0 M:0 L:0","Apache-2.0",No,"grpc-netty@1.57.2"
"netty-handler@4.1.110.Final","Maven - transitive","upload/upload/bom","H:0 M:0 L:0","Apache-2.0",No,"netty-codec-http2@4.1.110.Final, netty-codec-http@4.1.110.Final"
"netty-handler@4.1.93.Final","Maven - transitive","upload/upload/bom","H:0 M:0 L:0","Apache-2.0",No,"netty-codec-http2@4.1.93.Final, netty-codec-http@4.1.93.Final"
"netty-resolver@4.1.110.Final","Maven - transitive","upload/upload/bom","H:0 M:0 L:0","Apache-2.0",No,"netty-handler@4.1.110.Final, netty-transport@4.1.110.Final"
"netty-resolver@4.1.93.Final","Maven - transitive","upload/upload/bom","H:0 M:0 L:0","Apache-2.0",No,"netty-handler@4.1.93.Final, netty-transport@4.1.93.Final"
"netty-transport-native-unix-common@4.1.110.Final","Maven - transitive","upload/upload/bom","H:0 M:0 L:0","Apache-2.0",No,"grpc-netty@1.69.1, netty-handler@4.1.110.Final"
"netty-transport-native-unix-common@4.1.93.Final","Maven - transitive","upload/upload/bom","H:0 M:0 L:0","Apache-2.0",No,"grpc-netty@1.57.2, netty-handler@4.1.93.Final"
"netty-transport@4.1.110.Final","Maven - transitive","upload/upload/bom","H:0 M:0 L:0","Apache-2.0",No,"netty-codec-http2@4.1.110.Final, netty-codec-http@4.1.110.Final, netty-codec-socks@4.1.110.Final, netty-codec@4.1.110.Final, netty-handler-proxy@4.1.110.Final, netty-handler@4.1.110.Final, netty-transport-native-unix-common@4.1.110.Final"
"netty-transport@4.1.93.Final","Maven - transitive","upload/upload/bom","H:0 M:0 L:0","Apache-2.0",No,"netty-codec-http2@4.1.93.Final, netty-codec-http@4.1.93.Final, netty-codec-socks@4.1.93.Final, netty-codec@4.1.93.Final, netty-handler-proxy@4.1.93.Final, netty-handler@4.1.93.Final, netty-transport-native-unix-common@4.1.93.Final"
"opencensus-api@0.31.0","Maven - transitive","upload/upload/bom","H:0 M:0 L:0","Apache-2.0",No,"core@0.0.9-alpha03"
"opencensus-proto@0.2.0","Maven - transitive","upload/upload/bom","H:0 M:0 L:0","Apache-2.0",No,"core@0.0.9-alpha03, launcher@0.0.9-alpha03"
"perfmark-api@0.26.0","Maven - transitive","upload/upload/bom","H:0 M:0 L:0","Apache-2.0",No,"grpc-core@1.57.2, grpc-netty@1.57.2"
"perfmark-api@0.27.0","Maven - transitive","upload/upload/bom","H:0 M:0 L:0","Apache-2.0",No,"grpc-core@1.69.1, grpc-netty@1.69.1"
"sentry-android-core@8.49.0","Maven - transitive","upload/upload/bom","H:0 M:0 L:0","MIT",No,"sentry-android-ndk@8.49.0, sentry-android@8.49.0"
"sentry-android-ndk@8.49.0","Maven - transitive","upload/upload/bom","H:0 M:0 L:0","MIT",No,"sentry-android@8.49.0"
"sentry-android-replay@8.49.0","Maven - transitive","upload/upload/bom","H:0 M:0 L:0","MIT",No,"sentry-android@8.49.0"
"sentry-android@8.49.0","Maven - transitive","upload/upload/bom","H:0 M:0 L:0","MIT",No,"sentry_react-native@unspecified"
"sentry-native-ndk@0.15.3","Maven - transitive","upload/upload/bom","H:0 M:0 L:0","MIT",No,"sentry-android-ndk@8.49.0"
"sentry-spotlight@8.49.0","Maven - transitive","upload/upload/bom","H:0 M:0 L:0","MIT",No,"sentry_react-native@unspecified"
"sentry@8.49.0","Maven - transitive","upload/upload/bom","H:0 M:0 L:0","MIT",No,"sentry-android-core@8.49.0, sentry-android-ndk@8.49.0, sentry-android-replay@8.49.0, sentry-spotlight@8.49.0"
"javax.annotation-api@1.3.2","Maven - transitive","upload/upload/bom","H:0 M:0 L:0","Unknown",No,"proto@31.12.0, android-test-plugin-result-listener-gradle-proto@31.12.0"
"javax.inject@1","Maven - transitive","upload/upload/bom","H:0 M:0 L:0","Apache-2.0",No,"dagger@2.48, android-device-provider-local@0.0.9-alpha03, android-driver-instrumentation@0.0.9-alpha03, core@0.0.9-alpha03"
"jna-platform@5.6.0","Maven - transitive","upload/upload/bom","H:0 M:0 L:0","LGPL-2.1-only AND Apache-2.0",No,"common@31.12.0"
"jna@5.6.0","Maven - transitive","upload/upload/bom","H:0 M:0 L:0","LGPL-2.1-only AND Apache-2.0",No,"jna-platform@5.6.0"
"kxml2@2.3.0","Maven - transitive","upload/upload/bom","H:0 M:0 L:0","BSD style AND Public Domain",No,"ddmlib@31.12.0"
"checker-qual@3.33.0","Maven - transitive","upload/upload/bom","H:0 M:0 L:0","MIT",No,"guava@32.0.1-jre"
"checker-qual@3.43.0","Maven - transitive","upload/upload/bom","H:0 M:0 L:0","MIT",No,"guava@33.3.1-jre"
"cronet-api@143.7445.0","Maven - transitive","upload/upload/bom","H:0 M:0 L:0","Chromium and built-in dependencies",No,"cronet-common@143.7445.0"
"cronet-common@143.7445.0","Maven - transitive","upload/upload/bom","H:0 M:0 L:0","Chromium and built-in dependencies",No,"cronet-embedded@143.7445.0, httpengine-native-provider@143.7445.0"
"cronet-embedded@143.7445.0","Maven - transitive","upload/upload/bom","H:0 M:0 L:0","Chromium and built-in dependencies",No,"react-native-nitro-fetch@unspecified"
"cronet-shared@143.7445.0","Maven - transitive","upload/upload/bom","H:0 M:0 L:0","Chromium and built-in dependencies",No,"cronet-api@143.7445.0, cronet-common@143.7445.0, cronet-embedded@143.7445.0, httpengine-native-provider@143.7445.0"
"httpengine-native-provider@143.7445.0","Maven - transitive","upload/upload/bom","H:0 M:0 L:0","Chromium and built-in dependencies",No,"cronet-embedded@143.7445.0"
"animal-sniffer-annotations@1.23","Maven - transitive","upload/upload/bom","H:0 M:0 L:0","MIT",No,"grpc-core@1.57.2"
"animal-sniffer-annotations@1.24","Maven - transitive","upload/upload/bom","H:0 M:0 L:0","MIT",No,"grpc-core@1.69.1, grpc-util@1.69.1"
"trove4j@1.0.20200330","Maven - transitive","upload/upload/bom","H:0 M:0 L:0","GNU LESSER GENERAL PUBLIC LICENSE 2.1",No,"kotlin-compiler-embeddable@2.1.20"
"kotlin-annotations-jvm@1.3.72","Maven - transitive","upload/upload/bom","H:0 M:0 L:0","Apache-2.0",No,"infer-annotation@0.18.0"
"kotlin-bom@1.8.22","Maven - transitive","upload/upload/bom","H:0 M:0 L:0","Apache-2.0",No,"material@1.13.0"
"kotlin-build-tools-api@2.1.20","Maven - transitive","upload/upload/bom","H:0 M:0 L:0","Apache-2.0",No,"kotlin-build-tools-impl@2.1.20"
"kotlin-build-tools-impl@2.1.20","Maven - direct","upload/upload/bom","H:0 M:0 L:0","Apache-2.0",No,Direct
"kotlin-compiler-embeddable@2.1.20","Maven - direct","upload/upload/bom","H:0 M:0 L:0","Apache-2.0",No,Direct
"kotlin-compiler-runner@2.1.20","Maven - transitive","upload/upload/bom","H:0 M:0 L:0","Apache-2.0",No,"kotlin-build-tools-impl@2.1.20"
"kotlin-daemon-client@2.1.20","Maven - transitive","upload/upload/bom","H:0 M:0 L:0","Apache-2.0",No,"kotlin-compiler-runner@2.1.20"
"kotlin-daemon-embeddable@2.1.20","Maven - transitive","upload/upload/bom","H:0 M:0 L:0","Apache-2.0",No,"kotlin-compiler-embeddable@2.1.20"
"kotlin-klib-commonizer-embeddable@2.1.20","Maven - direct","upload/upload/bom","H:0 M:0 L:0","Apache-2.0",No,Direct
"kotlin-reflect@1.6.10","Maven - transitive","upload/upload/bom","H:0 M:0 L:0","Apache-2.0",No,"kotlin-compiler-embeddable@2.1.20"
"kotlin-reflect@1.8.21","Maven - transitive","upload/upload/bom","H:0 M:0 L:0","Apache-2.0",No,"android-device-provider-local@0.0.9-alpha03, android-driver-instrumentation@0.0.9-alpha03, android-test-plugin@0.0.9-alpha03, core@0.0.9-alpha03, launcher@0.0.9-alpha03"
"kotlin-script-runtime@2.1.20","Maven - transitive","upload/upload/bom","H:0 M:0 L:0","Apache-2.0",No,"kotlin-compiler-embeddable@2.1.20, kotlin-scripting-jvm@2.1.20"
"kotlin-scripting-common@2.1.20","Maven - transitive","upload/upload/bom","H:0 M:0 L:0","Apache-2.0",No,"kotlin-scripting-compiler-impl-embeddable@2.1.20, kotlin-scripting-jvm@2.1.20"
"kotlin-scripting-compiler-embeddable@2.1.20","Maven - transitive","upload/upload/bom","H:0 M:0 L:0","Apache-2.0",No,"kotlin-build-tools-impl@2.1.20"
"kotlin-scripting-compiler-impl-embeddable@2.1.20","Maven - transitive","upload/upload/bom","H:0 M:0 L:0","Apache-2.0",No,"kotlin-build-tools-impl@2.1.20, kotlin-scripting-compiler-embeddable@2.1.20"
"kotlin-scripting-jvm@2.1.20","Maven - transitive","upload/upload/bom","H:0 M:0 L:0","Apache-2.0",No,"kotlin-scripting-compiler-impl-embeddable@2.1.20"
"kotlin-stdlib-common@1.8.21","Maven - transitive","upload/upload/bom","H:0 M:0 L:0","Apache-2.0",No,"kotlin-stdlib@1.8.21, kotlinx-coroutines-core-jvm@1.7.3"
"kotlin-stdlib-common@1.9.0","Maven - transitive","upload/upload/bom","H:0 M:0 L:0","Apache-2.0",No,"kotlin-stdlib@1.9.0, atomicfu-jvm@0.22.0, kotlinx-coroutines-core-jvm@1.7.3"
"kotlin-stdlib-common@2.1.20","Maven - transitive","upload/upload/bom","H:0 M:0 L:0","Apache-2.0",No,"atomicfu-jvm@0.22.0, kotlinx-coroutines-core-jvm@1.7.3"
"kotlin-stdlib-jdk7@1.8.20","Maven - transitive","upload/upload/bom","H:0 M:0 L:0","Apache-2.0",No,"kotlin-stdlib-jdk8@1.8.20"
"kotlin-stdlib-jdk7@1.9.24","Maven - transitive","upload/upload/bom","H:0 M:0 L:0","Apache-2.0",No,"kotlin-stdlib-jdk8@1.9.24"
"kotlin-stdlib-jdk7@2.1.20","Maven - transitive","upload/upload/bom","H:0 M:0 L:0","Apache-2.0",No,"kotlin-stdlib-jdk8@2.1.20"
"kotlin-stdlib-jdk8@1.8.20","Maven - transitive","upload/upload/bom","H:0 M:0 L:0","Apache-2.0",No,"kotlinx-coroutines-core-jvm@1.7.3"
"kotlin-stdlib-jdk8@1.9.24","Maven - transitive","upload/upload/bom","H:0 M:0 L:0","Apache-2.0",No,"sentry-android-replay@8.49.0"
"kotlin-stdlib-jdk8@2.1.20","Maven - transitive","upload/upload/bom","H:0 M:0 L:0","Apache-2.0",No,"android-test-plugin-host-emulator-control-proto@31.12.0, utp-common@31.12.0, common@31.12.0, kotlinx-coroutines-core-jvm@1.7.3"
"kotlin-stdlib@1.8.21","Maven - transitive","upload/upload/bom","H:0 M:0 L:0","Apache-2.0",No,"protobuf-kotlin@3.24.4, android-test-plugin@0.0.9-alpha03, core@0.0.9-alpha03, kotlin-reflect@1.8.21, kotlin-stdlib-jdk7@1.8.20, kotlin-stdlib-jdk8@1.8.20"
"kotlin-stdlib@1.9.0","Maven - transitive","upload/upload/bom","H:0 M:0 L:0","Apache-2.0",No,"protobuf-kotlin@3.24.4, android-driver-instrumentation@0.0.9-alpha03, launcher@0.0.9-alpha03, kotlin-reflect@1.8.21, kotlin-stdlib-jdk7@1.8.20, kotlin-stdlib-jdk8@1.8.20, atomicfu-jvm@0.22.0"
"kotlin-stdlib@2.1.20","Maven - direct","upload/upload/bom","H:0 M:0 L:0","Apache-2.0",No,Direct
"kotlin-stdlib@2.2.10","Maven - direct","upload/upload/bom","H:0 M:0 L:0","Apache-2.0",No,Direct
"atomicfu-jvm@0.22.0","Maven - transitive","upload/upload/bom","H:0 M:0 L:0","Apache-2.0",No,"atomicfu@0.22.0"
"atomicfu@0.22.0","Maven - transitive","upload/upload/bom","H:0 M:0 L:0","Apache-2.0",No,"android-driver-instrumentation@0.0.9-alpha03, launcher@0.0.9-alpha03"
"kotlinx-coroutines-android@1.9.0","Maven - transitive","upload/upload/bom","H:0 M:0 L:0","Apache-2.0",No,"lifecycle-common@2.6.2, lifecycle-runtime-ktx@2.6.2, lifecycle-viewmodel-ktx@2.6.2, lifecycle-viewmodel-savedstate@2.6.2, room-ktx@2.8.4, room-runtime-android@2.8.4, react-native-nitro-fetch@unspecified"
"kotlinx-coroutines-bom@1.7.3","Maven - transitive","upload/upload/bom","H:0 M:0 L:0","Apache-2.0",No,"kotlinx-coroutines-core-jvm@1.7.3"
"kotlinx-coroutines-bom@1.9.0","Maven - transitive","upload/upload/bom","H:0 M:0 L:0","Apache-2.0",No,"kotlinx-coroutines-android@1.9.0"
"kotlinx-coroutines-core-jvm@1.10.2","Maven - transitive","upload/upload/bom","H:0 M:0 L:0","Apache-2.0",No,"kotlinx-coroutines-core@1.10.2"
"kotlinx-coroutines-core-jvm@1.7.3","Maven - transitive","upload/upload/bom","H:0 M:0 L:0","Apache-2.0",No,"android-device-provider-local@0.0.9-alpha03, android-driver-instrumentation@0.0.9-alpha03, android-test-plugin@0.0.9-alpha03, core@0.0.9-alpha03, launcher@0.0.9-alpha03, kotlinx-coroutines-core@1.7.3"
